,dataset,lib,model,num_rows,num_cols,num_sampled_rows,device,num_epochs,train_time_sec,sample_time_sec,peak_memory_mb,synthesizer_size,synthetic_dataset_size_mb_deep,train_dataset_size_mb_deep,synthetic_dataset_size_mb,train_dataset_size_mb
0,adult,GRETEL_0.20.0,actgan_gretel,26048,16,26048,GPU,300,844.4202311038971,2.1354258060455322,112.538464,37.958943,16.898896,17.094568,3.334272,3.542528
1,adult,SDV_1.2.1,ctgan_sdv,26048,15,32561,CPU,300,1019.8385624885559,2.3177473545074463,101.74205,35.808308,20.880857,16.886184,3.907448,3.334144
2,adult,SDV_1.2.1,tvae_sdv,26048,15,32561,CPU,300,378.85013580322266,0.9803671836853027,101.740078,0.41706,20.859236,16.886184,3.907448,3.334144
3,adult,SDV_1.2.1,gaussian_copula_sdv,26048,15,32561,CPU,0,11.544245719909668,1.6321463584899902,32.554806,0.135811,20.769536,16.886184,3.907448,3.334144
4,adult,synthcity==0.2.9,ctgan_syn,26048,15,32561,cpu,300,5387.746335983276,9.03220796585083,161.648593,38.916708,21.105475,16.886184,4.167808,3.334144
5,adult,synthcity==0.2.9,tvae_syn,26048,15,32561,cpu,300,2839.4333148002625,2.5988330841064453,161.627016,44.55767,21.110107,16.886184,4.167808,3.334144
6,adult,synthcity==0.2.9,goggle_syn,26048,16,32561,cpu,300,8627.379759788513,25.419581413269043,161.497508,8.131883,21.260577,17.094568,4.428296,3.542528
7,adult,synthcity==0.2.9,arf_syn,26048,15,32561,cpu,0,1358.9238715171814,210.3333547115326,676.607016,243.196847,21.09892,16.886184,4.167808,3.334144
8,adult,synthcity==0.2.9,ddpm_syn,26048,15,32561,cpu,5000,6473.86195063591,578.00173163414,99.675241,6.281305,21.099001,16.886184,4.167808,3.334144
9,adult,synthcity==0.2.9,nflow_syn,26048,15,32561,cpu,3000,1720.5645155906677,95.2383177280426,151.902518,3.654027,21.152703,16.886184,4.167808,3.334144
10,adult,synthcity==0.2.9,rtvae_syn,26048,15,32561,cpu,300,4107.705225229263,11.591617822647095,161.626765,44.557675,21.181972,16.886184,4.167808,3.334144
11,adult,GREAT,great_llm,32561,16,32561,-99,300,76981.97390413284,9918.225554704666,204.730179,327.7,-99,-99,-99,-99
12,census,GRETEL_0.20.0,actgan_gretel,239428,42,239428,GPU,300,11141.097748756409,32.03165555000305,3023.620889,1011.027493,519.92218,521.717176,80.447936,82.363232
13,census,SDV_1.2.1,ctgan_sdv,239428,41,299285,CPU,300,38185.00844812393,38.36403155326843,2861.407736,986.504407,646.948582,519.801752,98.165608,80.447808
14,census,SDV_1.2.1,tvae_sdv,239428,41,299285,CPU,300,9733.092632055283,17.88513946533203,2861.405798,0.882039,647.103834,519.801752,98.165608,80.447808
15,census,SDV_1.2.1,gaussian_copula_sdv,239428,41,299285,CPU,0,197.48786687850952,42.88697123527527,805.920771,0.370677,646.907304,519.801752,98.165608,80.447808
16,child,GRETEL_0.20.0,actgan_gretel,16000,21,16000,GPU,300,512.0573961734772,1.2775123119354248,33.868446,12.529515,19.87667,20.019202,2.688128,2.816
17,child,SDV_1.2.1,ctgan_sdv,16000,20,20000,CPU,300,534.0515909194946,1.355827808380127,29.154026,11.255035,24.530349,19.697801,3.200128,2.688
18,child,SDV_1.2.1,tvae_sdv,16000,20,20000,CPU,300,175.2595202922821,0.4694657325744629,26.281417,0.34447,24.478376,19.697801,3.200128,2.688
19,child,SDV_1.2.1,gaussian_copula_sdv,16000,20,20000,CPU,0,9.832734107971191,1.3047595024108887,26.872717,0.175013,24.310805,19.697801,3.200128,2.688
20,child,synthcity==0.2.9,ctgan_syn,16000,20,20000,cpu,300,1396.6698679924011,1.0276367664337158,106.187624,40.481244,24.868986,19.891202,3.36,2.688
21,child,synthcity==0.2.9,tvae_syn,16000,20,20000,cpu,300,1834.7480781078339,3.120516300201416,106.624319,47.21927,24.860812,19.891202,3.36,2.688
22,child,synthcity==0.2.9,goggle_syn,16000,20,20000,cpu,300,1387.2248439788818,215.06461358070374,93.103152,1.277825,24.850142,19.891202,3.36,2.688
23,child,synthcity==0.2.9,arf_syn,16000,20,20000,cuda,0,384.6561896800995,232.09281611442566,534.455349,187.803084,24.865105,19.891202,3.36,2.688
24,child,synthcity==0.2.9,ddpm_syn,16000,20,20000,cuda,5000,2843.8748943805695,205.39761424064636,88.288377,5.043989,24.864581,19.891202,3.36,2.688
25,child,synthcity==0.2.9,nflow_syn,16000,20,20000,cuda,3000,1237.5508749485016,2.552199125289917,92.132051,1.37334,24.855214,19.891202,3.36,2.688
26,child,synthcity==0.2.9,rtvae_syn,16000,20,20000,cuda,300,762.0326147079468,1.593080997467041,106.565976,47.219337,24.858097,19.891202,3.36,2.688
